BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,08/04/2021,69
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,14/04/2021,5
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,24/03/2021,86
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,19/03/2021,13000
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,18/02/2021,150
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,02/02/2021,14
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,08/02/2021,2
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,25/02/2021,22
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,14/01/2021,27
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,31/03/2021,97
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,08/03/2021,0
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,02/03/2021,1
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,12/03/2021,0
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,12/02/2021,2
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,18/01/2021,0
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,27/01/2021,2
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,29/12/2021,16
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,15/12/2021,2
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,03/12/2021,30
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,09/12/2021,150
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,22/12/2021,2
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,20/04/2021,5
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,22/11/2021,43
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,04/11/2021,59
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,16/11/2021,1
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,14/10/2021,6
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,20/10/2021,2
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,26/08/2021,96
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,26/11/2021,850
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,29/10/2021,16
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,09/06/2021,200
74.8,Sydney Harbour,Inner West Council,Callan Park Seawall,151.159306,-33.862333,10/11/2021,3
